Domain,Classification,Workspace(s),Total Accounts,Burnt Accounts,Healthy Accounts,Low Volume Accounts,Total Sent,Total Replied,Avg Reply Rate %
binyonagencyltd.com,ALL_BURNT,"Jason Binyon",3,3,0,0,4418,12,0.27
brilliantinsuranceco.com,ALL_BURNT,"Jason Binyon",3,3,0,0,3825,13,0.34
comprehensivepolicyhub.com,ALL_BURNT,"Jason Binyon",2,2,0,0,3555,18,0.51
agentfarmersnetwork.com,ALL_BURNT,"Danny Schwartz",3,3,0,0,3341,10,0.30
agentfarmersusa.com,ALL_BURNT,"Danny Schwartz",3,3,0,0,3339,15,0.45
agentfarmersservices.com,ALL_BURNT,"Danny Schwartz",3,3,0,0,3334,17,0.51
agentsfarmerspro.com,ALL_BURNT,"Danny Schwartz",3,3,0,0,3269,18,0.55
awpremierinsurance.com,ALL_BURNT,"Jason Binyon",3,3,0,0,3087,8,0.26
alexwilliamspro.com,ALL_BURNT,"Jason Binyon",2,2,0,0,3072,13,0.42
binyonagencyincs.com,ALL_BURNT,"Jason Binyon",2,2,0,0,2885,5,0.17
brilliantinsuranceltds.com,ALL_BURNT,"Jason Binyon",2,2,0,0,2851,7,0.25
awinsurancefirm.com,ALL_BURNT,"Jason Binyon",2,2,0,0,2482,9,0.36
thedevinagencyusa.com,ALL_BURNT,"Devin Hodo",3,3,0,0,2448,15,0.61
thedevinagencyinsurance.com,ALL_BURNT,"Devin Hodo",3,3,0,0,2415,15,0.62
devinagencywork.com,ALL_BURNT,"Devin Hodo",3,3,0,0,2411,2,0.08
thedevinagencyservices.com,ALL_BURNT,"Devin Hodo",3,3,0,0,2392,9,0.38
devinagencyinfo.com,ALL_BURNT,"Devin Hodo",3,3,0,0,2369,6,0.25
devinagencyservice.com,ALL_BURNT,"Devin Hodo",3,3,0,0,2354,4,0.17
devinagencyllc.com,ALL_BURNT,"Devin Hodo",3,3,0,0,2335,11,0.47
homepolicyusa.info,ALL_BURNT,"Jason Binyon",2,2,0,0,2094,4,0.19
homepolicytx.info,ALL_BURNT,"Jason Binyon",2,2,0,0,2074,5,0.24
binyonagencyinsurance.com,ALL_BURNT,"Jason Binyon",3,3,0,0,2039,6,0.29
binyonagencyoffice.com,ALL_BURNT,"Jason Binyon",3,3,0,0,2014,5,0.25
robrussellbiz.com,ALL_BURNT,"Rob Russell",1,1,0,0,1703,5,0.29
alexwilliamsconnect.com,ALL_BURNT,"Jason Binyon",1,1,0,0,1532,4,0.26
alexwilliamsbiz.com,ALL_BURNT,"Jason Binyon",1,1,0,0,1531,5,0.33
topalexwilliams.com,ALL_BURNT,"Jason Binyon",1,1,0,0,1524,5,0.33
maxalexwilliams.com,ALL_BURNT,"Jason Binyon",1,1,0,0,1521,6,0.39
alexwilliamsproperty.com,ALL_BURNT,"Jason Binyon",1,1,0,0,1515,3,0.20
americancoveragenetwork.com,ALL_BURNT,"Jason Binyon",1,1,0,0,1500,4,0.27
thebinyonagencyllcs.com,ALL_BURNT,"Jason Binyon",1,1,0,0,1323,1,0.08
nicksakhariskcorp.com,ALL_BURNT,"Nick Sakha",3,3,0,0,1249,3,0.24
nicksakhainsurancepros.com,ALL_BURNT,"Nick Sakha",3,3,0,0,1202,3,0.25
homepolicyadvisors.info,ALL_BURNT,"Jason Binyon",1,1,0,0,1048,3,0.29
homepolicyagency.info,ALL_BURNT,"Jason Binyon",1,1,0,0,1043,3,0.29
kimwallace-covered.com,ALL_BURNT,"Kim Wallace",1,1,0,0,843,0,0.00
assuredpartnersglobal.com,ALL_BURNT,"Kirk Hodgson",3,3,0,0,807,1,0.12
assuredpartnersltd.com,ALL_BURNT,"Kirk Hodgson",3,3,0,0,767,1,0.13
secureassuredpartners.com,ALL_BURNT,"Kirk Hodgson",1,1,0,0,737,3,0.41
greggblanchardagencybuilders.com,ALL_BURNT,"Gregg Blanchard",3,3,0,0,531,0,0.00
davidamiriltd.com,ALL_BURNT,"David Amiri",3,3,0,0,451,0,0.00
binyonagencycapital.com,MIXED,"Jason Binyon",99,75,24,0,13399,25,0.19
binyoninsuranceagency.com,MIXED,"Jason Binyon",99,76,23,0,13351,30,0.22
robrussellchoice.com,MIXED,"Rob Russell",25,11,14,0,13207,72,0.55
robrussellclaims.com,MIXED,"Rob Russell",25,11,14,0,13187,67,0.51
wallaceagencyincs.com,MIXED,"Kim Wallace",99,79,20,0,6701,28,0.42
wallaceagencyllcs.com,MIXED,"Kim Wallace",99,84,15,0,6599,18,0.27
robrusselincs.com,MIXED,"Rob Russell",99,67,32,0,6245,36,0.58
robrusselusa.com,MIXED,"Rob Russell",99,73,26,0,6240,29,0.46
johnrobertsllcs.com,MIXED,"John Roberts",99,81,18,0,6069,23,0.38
johnrobertsincs.com,MIXED,"John Roberts",99,80,19,0,5793,27,0.47
askrobrussell.com,MIXED,"Rob Russell",3,1,2,0,5061,35,0.69
prodavidamiri.com,MIXED,"David Amiri",3,1,2,0,4942,28,0.57
davidamiriplans.com,MIXED,"David Amiri",3,1,2,0,4926,27,0.55
davidamiricoverage.com,MIXED,"David Amiri",3,2,1,0,4918,18,0.37
johnrobertsnet.com,MIXED,"John Roberts",3,2,1,0,4915,24,0.49
davidamiriplus.com,MIXED,"David Amiri",3,1,2,0,4914,26,0.53
johnrobertspoint.com,MIXED,"John Roberts",3,1,2,0,4912,28,0.57
davidamirihelp.com,MIXED,"David Amiri",3,1,2,0,4904,36,0.73
hellodavidamiri.com,MIXED,"David Amiri",3,1,2,0,4900,22,0.45
hidavidamiri.com,MIXED,"David Amiri",3,2,1,0,4887,20,0.41
plusjohnroberts.com,MIXED,"John Roberts",3,1,2,0,4887,23,0.47
davidamiriinc.com,MIXED,"David Amiri",3,1,2,0,4875,31,0.64
johnrobertsbase.com,MIXED,"John Roberts",3,2,1,0,4870,18,0.37
davidamiriinsurance.com,MIXED,"David Amiri",3,2,1,0,4868,25,0.51
johnrobertsexperts.com,MIXED,"John Roberts",3,1,2,0,4851,25,0.52
johnrobertsspot.com,MIXED,"John Roberts",3,1,2,0,4817,35,0.73
bookdavidamiri.com,MIXED,"David Amiri",3,2,1,0,4642,19,0.41
askdavidamiri.com,MIXED,"David Amiri",3,1,2,0,4626,29,0.63
davidamirisecure.com,MIXED,"David Amiri",3,2,1,0,4624,17,0.37
davidamiricovers.com,MIXED,"David Amiri",3,1,2,0,4623,35,0.76
visitdavidamiri.com,MIXED,"David Amiri",3,2,1,0,4608,21,0.46
contactdavidamiri.com,MIXED,"David Amiri",3,1,2,0,4604,30,0.65
savedavidamiri.com,MIXED,"David Amiri",3,1,2,0,4598,27,0.59
trustdavidamiri.com,MIXED,"David Amiri",3,1,2,0,4583,28,0.61
davidamirieasy.com,MIXED,"David Amiri",3,2,1,0,4565,18,0.39
calldavidamiri.com,MIXED,"David Amiri",3,1,2,0,4561,26,0.57
finddavidamiri.com,MIXED,"David Amiri",3,1,2,0,4551,23,0.51
davidamiriauto.com,MIXED,"David Amiri",3,1,2,0,4521,26,0.58
davidamirilocal.com,MIXED,"David Amiri",3,1,2,0,4496,25,0.56
gowallaceagency.com,MIXED,"Kim Wallace",3,1,2,0,4350,20,0.46
openwallaceagency.com,MIXED,"Kim Wallace",3,1,2,0,4349,25,0.57
withwallaceagency.com,MIXED,"Kim Wallace",3,1,2,0,4343,34,0.78
hiwallaceagency.com,MIXED,"Kim Wallace",3,2,1,0,4342,21,0.48
hellowallaceagency.com,MIXED,"Kim Wallace",3,1,2,0,4341,29,0.67
contactwallaceagency.com,MIXED,"Kim Wallace",3,2,1,0,4334,22,0.51
trywallaceagency.com,MIXED,"Kim Wallace",3,1,2,0,4334,34,0.78
coverwallaceagency.com,MIXED,"Kim Wallace",3,1,2,0,4320,30,0.69
binyonagency.com,MIXED,"Jason Binyon",3,1,2,0,4038,19,0.47
brilliantinsurancecorp.com,MIXED,"Jason Binyon",3,2,1,0,3807,16,0.42
kimwallaceservestexas.com,MIXED,"Kim Wallace",2,1,1,0,3642,18,0.49
kimwallacesolutions.com,MIXED,"Kim Wallace",2,1,1,0,3635,21,0.58
kimwallaceyourpolicy.com,MIXED,"Kim Wallace",2,1,1,0,3625,23,0.63
kimwallaceinsuranceplans.com,MIXED,"Kim Wallace",2,1,1,0,3591,21,0.58
optimalplannetwork.com,MIXED,"Jason Binyon",2,1,1,0,3556,20,0.56
industrybestcoverage.com,MIXED,"Jason Binyon",2,1,1,0,3548,15,0.42
nationwidecoveragepros.com,MIXED,"Jason Binyon",2,1,1,0,3533,19,0.54
strategiccoverageco.com,MIXED,"Jason Binyon",2,1,1,0,3530,18,0.51
nationalpolicyhub.com,MIXED,"Jason Binyon",2,1,1,0,3429,11,0.32
agentsfarmersllcs.com,MIXED,"Danny Schwartz",3,1,2,0,3427,24,0.70
agentsfarmerssupport.com,MIXED,"Danny Schwartz",3,1,2,0,3427,35,1.02
agentsfarmerscorp.com,MIXED,"Danny Schwartz",3,1,2,0,3426,20,0.58
agentsfarmersco.com,MIXED,"Danny Schwartz",3,1,2,0,3425,29,0.85
agentsfarmersltd.com,MIXED,"Danny Schwartz",3,2,1,0,3424,28,0.82
agentsfarmersusa.com,MIXED,"Danny Schwartz",3,2,1,0,3423,20,0.58
agentsfarmersincs.com,MIXED,"Danny Schwartz",3,1,2,0,3423,29,0.85
theagentsfarmersusa.com,MIXED,"Danny Schwartz",3,1,2,0,3422,48,1.40
agentsfarmersservice.com,MIXED,"Danny Schwartz",3,1,2,0,3419,38,1.11
agentsfarmershelp.com,MIXED,"Danny Schwartz",3,1,2,0,3415,26,0.76
theagentsfarmersinc.com,MIXED,"Danny Schwartz",3,1,2,0,3412,21,0.62
getrobrussell.com,MIXED,"Rob Russell",2,1,1,0,3405,18,0.53
agentfarmerscorp.com,MIXED,"Danny Schwartz",3,1,2,0,3368,24,0.71
agentfarmersnetworks.com,MIXED,"Danny Schwartz",3,1,2,0,3361,34,1.01
agentfarmersltds.com,MIXED,"Danny Schwartz",3,2,1,0,3358,11,0.33
agentfarmersllc.com,MIXED,"Danny Schwartz",3,1,2,0,3353,18,0.54
agentfarmersteam.com,MIXED,"Danny Schwartz",3,1,2,0,3336,32,0.96
agentfarmersinc.com,MIXED,"Danny Schwartz",3,1,2,0,3336,18,0.54
agentfarmersteams.com,MIXED,"Danny Schwartz",3,1,2,0,3334,25,0.75
kimwallacepolicyhelp.com,MIXED,"Kim Wallace",2,1,1,0,3290,15,0.46
kimwallacellc.com,MIXED,"Kim Wallace",2,1,1,0,3278,28,0.85
agentfarmersltd.com,MIXED,"Danny Schwartz",3,1,2,0,3265,41,1.26
kimwallacelocal.com,MIXED,"Kim Wallace",2,1,1,0,3262,18,0.55
agentfarmerspro.com,MIXED,"Danny Schwartz",3,1,2,0,3255,32,0.98
topjohnroberts.com,MIXED,"John Roberts",2,1,1,0,3247,20,0.62
davidamirihouse.com,MIXED,"David Amiri",2,1,1,0,3244,18,0.55
agentfarmershelp.com,MIXED,"Danny Schwartz",3,1,2,0,3242,19,0.59
johnrobertsprotect.com,MIXED,"John Roberts",2,1,1,0,3226,18,0.56
awassure.com,MIXED,"Jason Binyon",3,2,1,0,3092,18,0.58
awriskadvisors.com,MIXED,"Jason Binyon",3,2,1,0,3080,9,0.29
alexwilliamsserves.com,MIXED,"Jason Binyon",2,1,1,0,3070,13,0.42
awcoverage.com,MIXED,"Jason Binyon",3,2,1,0,3054,11,0.36
goalexwilliams.com,MIXED,"Jason Binyon",2,1,1,0,3037,12,0.40
alexwilliamshelp.com,MIXED,"Jason Binyon",2,1,1,0,3026,15,0.50
thebinyonagency.com,MIXED,"Jason Binyon",2,1,1,0,2949,14,0.47
meetkimwallace.com,MIXED,"Kim Wallace",2,1,1,0,2879,16,0.56
kimwallaceeasy.com,MIXED,"Kim Wallace",2,1,1,0,2876,25,0.87
kimwallacetexasplans.com,MIXED,"Kim Wallace",2,1,1,0,2831,23,0.81
thebinyonagencyllc.com,MIXED,"Jason Binyon",2,1,1,0,2755,14,0.51
binyonagencyllcs.com,MIXED,"Jason Binyon",2,1,1,0,2620,12,0.46
binyonagencyllc.com,MIXED,"Jason Binyon",2,1,1,0,2613,9,0.34
kimwallacepolicyreview.com,MIXED,"Kim Wallace",2,1,1,0,2516,19,0.76
devinagencysupport.com,MIXED,"Devin Hodo",3,2,1,0,2461,14,0.57
thedevinagencysupport.com,MIXED,"Devin Hodo",3,1,2,0,2448,22,0.90
devinagencyteams.com,MIXED,"Devin Hodo",3,1,2,0,2425,16,0.66
thedevinagencycorp.com,MIXED,"Devin Hodo",3,2,1,0,2418,15,0.62
thedevinagencyinsure.com,MIXED,"Devin Hodo",3,2,1,0,2406,15,0.62
thedevinagencyconnect.com,MIXED,"Devin Hodo",3,1,2,0,2400,20,0.83
devinagencyplus.com,MIXED,"Devin Hodo",3,1,2,0,2388,11,0.46
devinagencycapital.com,MIXED,"Devin Hodo",3,1,2,0,2381,14,0.59
devinagencyonline.com,MIXED,"Devin Hodo",3,1,2,0,2378,18,0.76
devinagencyteam.com,MIXED,"Devin Hodo",3,1,2,0,2375,18,0.76
thedevinagencyinfo.com,MIXED,"Devin Hodo",3,2,1,0,2373,11,0.46
devinagencyhelp.com,MIXED,"Devin Hodo",3,2,1,0,2372,18,0.76
thedevinagencyltds.com,MIXED,"Devin Hodo",3,1,2,0,2370,18,0.76
robrusselinc.com,MIXED,"Rob Russell",3,1,2,0,2369,23,0.97
robrusselprime.com,MIXED,"Rob Russell",3,1,2,0,2368,23,0.97
thedevinagencyincs.com,MIXED,"Devin Hodo",3,1,2,0,2367,19,0.80
robrusselonline.com,MIXED,"Rob Russell",3,1,2,0,2366,13,0.55
robrusselhq.com,MIXED,"Rob Russell",3,1,2,0,2364,24,1.02
devinagencyusa.com,MIXED,"Devin Hodo",3,1,2,0,2363,33,1.40
thedevinagencyltd.com,MIXED,"Devin Hodo",3,1,2,0,2362,18,0.76
devinagencypros.com,MIXED,"Devin Hodo",3,1,2,0,2361,22,0.93
thedevinagencyllcs.com,MIXED,"Devin Hodo",3,1,2,0,2361,18,0.76
devinagencypro.com,MIXED,"Devin Hodo",3,1,2,0,2358,15,0.64
devinagencycorp.com,MIXED,"Devin Hodo",3,1,2,0,2356,30,1.27
thedevinagencyonline.com,MIXED,"Devin Hodo",3,2,1,0,2352,4,0.17
devinagencyltds.com,MIXED,"Devin Hodo",3,2,1,0,2347,14,0.60
thedevinagencyinc.com,MIXED,"Devin Hodo",3,1,2,0,2345,15,0.64
devinagencyltd.com,MIXED,"Devin Hodo",3,1,2,0,2343,13,0.55
devinagencyincs.com,MIXED,"Devin Hodo",3,2,1,0,2342,13,0.56
devinagencyinsurance.com,MIXED,"Devin Hodo",3,1,2,0,2336,22,0.94
devinagencyinc.com,MIXED,"Devin Hodo",3,2,1,0,2325,13,0.56
thedevinagencyllc.com,MIXED,"Devin Hodo",3,1,2,0,2323,19,0.82
devinagencyllcs.com,MIXED,"Devin Hodo",3,1,2,0,2316,24,1.04
johnrobertsglobal.com,MIXED,"John Roberts",3,1,2,0,2301,22,0.96
johnrobertspro.com,MIXED,"John Roberts",3,1,2,0,2300,32,1.39
thedevinagency.com,MIXED,"Devin Hodo",3,1,2,0,2294,14,0.61
johnrobertsllc.com,MIXED,"John Roberts",3,1,2,0,2286,15,0.66
assuredpartnerswise.com,MIXED,"Kirk Hodgson",3,1,2,0,2189,12,0.55
thedevinagencypro.com,MIXED,"Devin Hodo",3,2,1,0,2180,5,0.23
jeffschroder.com,MIXED,"Jeff Schroder",3,1,2,0,2172,22,1.01
hiassuredpartners.com,MIXED,"Kirk Hodgson",3,1,2,0,2127,17,0.80
homepolicyinsurance.info,MIXED,"Jason Binyon",2,1,1,0,2090,6,0.29
homepolicyinsure.info,MIXED,"Jason Binyon",2,1,1,0,2081,10,0.48
lifeassuredpartners.com,MIXED,"Kirk Hodgson",3,1,2,0,2073,17,0.82
binyonagencyworks.com,MIXED,"Jason Binyon",3,1,2,0,2053,11,0.54
binyonagencygrowth.com,MIXED,"Jason Binyon",3,2,1,0,2052,6,0.29
binyonagencyprime.com,MIXED,"Jason Binyon",3,1,2,0,2047,9,0.44
binyonagencypartners.com,MIXED,"Jason Binyon",3,2,1,0,2046,6,0.29
binyonagencyfuture.com,MIXED,"Jason Binyon",3,1,2,0,2041,10,0.49
binyonagencyconnect.com,MIXED,"Jason Binyon",3,1,2,0,2040,8,0.39
binyonagencyadvice.com,MIXED,"Jason Binyon",3,1,2,0,2039,9,0.44
binyonagencyplans.com,MIXED,"Jason Binyon",3,1,2,0,2038,9,0.44
binyonagencygroup.com,MIXED,"Jason Binyon",3,1,2,0,2038,12,0.59
binyonagencytx.com,MIXED,"Jason Binyon",3,2,1,0,2036,6,0.29
binyonagencyexperts.com,MIXED,"Jason Binyon",3,1,2,0,2036,10,0.49
binyonagencyteam.com,MIXED,"Jason Binyon",3,1,2,0,2034,10,0.49
binyonagencyadvisors.com,MIXED,"Jason Binyon",3,1,2,0,2034,6,0.29
binyonagencysecure.com,MIXED,"Jason Binyon",3,2,1,0,2034,6,0.29
binyonagencyhq.com,MIXED,"Jason Binyon",3,1,2,0,2034,15,0.74
binyonagencyshield.com,MIXED,"Jason Binyon",3,2,1,0,2034,5,0.25
binyonagencyportal.com,MIXED,"Jason Binyon",3,1,2,0,2033,9,0.44
binyonagencycare.com,MIXED,"Jason Binyon",3,1,2,0,2031,13,0.64
binyonagencycity.com,MIXED,"Jason Binyon",3,1,2,0,2029,9,0.44
binyonagencylocal.com,MIXED,"Jason Binyon",3,2,1,0,2026,8,0.39
binyonagency360.com,MIXED,"Jason Binyon",3,2,1,0,2025,5,0.25
binyonagencyone.com,MIXED,"Jason Binyon",3,1,2,0,2025,9,0.44
binyonagencyins.com,MIXED,"Jason Binyon",3,1,2,0,2024,10,0.49
binyonagencyusa.com,MIXED,"Jason Binyon",3,1,2,0,2024,9,0.44
binyonagencyhub.com,MIXED,"Jason Binyon",3,2,1,0,2021,5,0.25
binyonagencynational.com,MIXED,"Jason Binyon",3,2,1,0,2018,7,0.35
binyonagencynetwork.com,MIXED,"Jason Binyon",3,1,2,0,2017,10,0.50
binyonagencycoverage.com,MIXED,"Jason Binyon",3,2,1,0,2016,9,0.45
binyonagencycenter.com,MIXED,"Jason Binyon",3,1,2,0,2015,10,0.50
binyonagencyclaims.com,MIXED,"Jason Binyon",3,2,1,0,2014,8,0.40
binyonagencyglobal.com,MIXED,"Jason Binyon",3,1,2,0,2011,12,0.60
binyonagencypro.com,MIXED,"Jason Binyon",3,2,1,0,2010,8,0.40
binyonagencytrust.com,MIXED,"Jason Binyon",3,2,1,0,2003,12,0.60
binyonagencyventures.com,MIXED,"Jason Binyon",3,2,1,0,1999,7,0.35
binyonagencyintl.com,MIXED,"Jason Binyon",3,1,2,0,1998,8,0.40
binyonagencyenterprises.com,MIXED,"Jason Binyon",3,1,2,0,1997,13,0.65
binyonagencycompany.com,MIXED,"Jason Binyon",3,2,1,0,1989,7,0.35
wallaceagencynetwork.com,MIXED,"Kim Wallace",3,1,2,0,1956,15,0.77
wallaceagencyworks.com,MIXED,"Kim Wallace",3,1,2,0,1954,9,0.46
wallaceagencyusa.com,MIXED,"Kim Wallace",3,1,2,0,1953,11,0.56
wallaceagencyadvisors.com,MIXED,"Kim Wallace",3,1,2,0,1945,13,0.67
wallaceagencyservices.com,MIXED,"Kim Wallace",3,1,2,0,1943,14,0.72
wallaceagencyteam.com,MIXED,"Kim Wallace",3,1,2,0,1942,17,0.88
jeffschrodersolutions.com,MIXED,"Jeff Schroder",2,1,1,0,1524,7,0.46
safejeffschroder.com,MIXED,"Jeff Schroder",2,1,1,0,1522,13,0.85
jeffschroderexperts.com,MIXED,"Jeff Schroder",2,1,1,0,1516,11,0.73
primeassuredpartners.com,MIXED,"Kirk Hodgson",2,1,1,0,1472,8,0.54
smartassuredpartners.com,MIXED,"Kirk Hodgson",2,1,1,0,1472,6,0.41
quickassuredpartners.com,MIXED,"Kirk Hodgson",2,1,1,0,1452,9,0.62
nicksakhapartners.com,MIXED,"Nick Sakha",3,1,2,0,1426,6,0.42
nicksakhaltd.com,MIXED,"Nick Sakha",3,1,2,0,1409,11,0.78
assuredpartnerselite.com,MIXED,"Kirk Hodgson",2,1,1,0,1407,8,0.57
trustassuredpartners.com,MIXED,"Kirk Hodgson",2,1,1,0,1403,5,0.36
nicksakhapartnersco.com,MIXED,"Nick Sakha",3,1,2,0,1402,8,0.57
nicksakhainsuranceusa.com,MIXED,"Nick Sakha",3,1,2,0,1397,10,0.72
nicksakhaprotectioninc.com,MIXED,"Nick Sakha",3,1,2,0,1389,13,0.94
nicksakhainsurancesolutions.com,MIXED,"Nick Sakha",3,1,2,0,1389,10,0.72
nicksakhaltds.com,MIXED,"Nick Sakha",3,1,2,0,1388,9,0.65
nicksakhaprotectionpros.com,MIXED,"Nick Sakha",3,2,1,0,1387,6,0.43
nicksakhaprotection.com,MIXED,"Nick Sakha",3,1,2,0,1386,6,0.43
nicksakhaprotectionllc.com,MIXED,"Nick Sakha",3,1,2,0,1376,5,0.36
nicksakhainsure.com,MIXED,"Nick Sakha",3,1,2,0,1373,13,0.95
nicksakhapartnersamerica.com,MIXED,"Nick Sakha",3,1,2,0,1366,14,1.02
nicksakhapartnersusa.com,MIXED,"Nick Sakha",3,1,2,0,1349,6,0.44
nicksakhafinancialco.com,MIXED,"Nick Sakha",3,2,1,0,1343,5,0.37
assuredpartnersplus.com,MIXED,"Kirk Hodgson",2,1,1,0,1341,8,0.60
nicksakhafinancialservices.com,MIXED,"Nick Sakha",3,1,2,0,1328,7,0.53
nicksakhaagency.com,MIXED,"Nick Sakha",3,1,2,0,1326,6,0.45
nicksakhapartnersltd.com,MIXED,"Nick Sakha",3,1,2,0,1324,4,0.30
nicksakhaglobal.com,MIXED,"Nick Sakha",3,1,2,0,1319,12,0.91
nicksakhacoverage.com,MIXED,"Nick Sakha",3,2,1,0,1317,7,0.53
nicksakhafinancialamerica.com,MIXED,"Nick Sakha",3,1,2,0,1314,15,1.14
nicksakhafinancial.com,MIXED,"Nick Sakha",3,1,2,0,1308,10,0.76
nicksakhasolutionsllc.com,MIXED,"Nick Sakha",3,1,2,0,1304,6,0.46
nicksakhafinancialusa.com,MIXED,"Nick Sakha",3,2,1,0,1304,9,0.69
nicksakhaagencyamerica.com,MIXED,"Nick Sakha",3,1,2,0,1304,8,0.61
nicksakhaagencyinc.com,MIXED,"Nick Sakha",3,1,2,0,1302,9,0.69
nicksakhaagencyusa.com,MIXED,"Nick Sakha",3,1,2,0,1302,10,0.77
nicksakhaconsulting.com,MIXED,"Nick Sakha",3,1,2,0,1300,14,1.08
