Domain,Classification,Total Mailboxes,Burnt Mailboxes,Healthy Mailboxes,Low Volume Mailboxes,Total Sent,Total Replied,Avg Reply Rate %
kimwallace-policyplans.com,HEALTHY,2,0,2,0,3260,30,0.92
agentfarmersincs.com,HEALTHY,3,0,3,0,3196,49,1.53
greggblanchardagencyfusion.com,HEALTHY,3,0,3,0,684,7,1.02
kimwallaceinc.com,HEALTHY,2,0,2,0,3683,28,0.76
thedevinagencyco.com,HEALTHY,3,0,3,0,2435,26,1.07
greggblanchardagencyfast.com,HEALTHY,3,0,3,0,686,4,0.58
greggblanchardagencyfirst.com,HEALTHY,3,0,3,0,695,9,1.29
agentfarmersexpert.com,HEALTHY,3,0,3,0,3232,40,1.24
greggblanchardagencyinc.com,HEALTHY,3,0,3,0,683,4,0.59
streetsmartprotect.com,HEALTHY,2,0,2,0,3022,161,5.33
greggblanchardagencyclientportal.com,HEALTHY,3,0,3,0,692,3,0.43
greggblanchardagencyinsurancedeals.com,HEALTHY,3,0,3,0,704,11,1.56
thedevinagencypros.com,HEALTHY,3,0,3,0,2357,22,0.93
greggblanchardagencyguide.com,HEALTHY,3,0,3,0,662,11,1.66
streetsmartinssolutions.com,HEALTHY,2,0,2,0,3029,83,2.74
greggblanchardagencyriskmanagement.com,HEALTHY,3,0,3,0,675,7,1.04
agentfarmershub.com,HEALTHY,3,0,3,0,3384,30,0.89
agentfarmers.com,HEALTHY,3,0,3,0,3320,24,0.72
agentfarmersinfo.com,HEALTHY,3,0,3,0,3325,33,0.99
schmitzagencyshop.com,HEALTHY,3,0,3,0,573,8,1.40
schmitzagencypartners.com,HEALTHY,3,0,3,0,562,5,0.89
schmitzagencyltds.com,HEALTHY,3,0,3,0,619,6,0.97
schmitzagencyshield.com,HEALTHY,3,0,3,0,555,10,1.80
streetsmartguard.com,HEALTHY,2,0,2,0,3032,113,3.73
streetsmartagency.com,HEALTHY,2,0,2,0,3005,106,3.53
schmitzagencyquotesfast.com,HEALTHY,3,0,3,0,563,8,1.42
kimwallacehome.com,HEALTHY,2,0,2,0,3724,43,1.15
nicksakhariskservices.com,HEALTHY,3,0,3,0,1289,9,0.70
nicksakhainsuranceworks.com,HEALTHY,3,0,3,0,1406,9,0.64
schmitzagencytoday.com,HEALTHY,3,0,3,0,578,10,1.73
nicksakhainsurepros.com,HEALTHY,3,0,3,0,1399,10,0.71
streetsmartsecure.com,HEALTHY,2,0,2,0,3099,117,3.78
schmitzagencyinsurancepros.com,HEALTHY,3,0,3,0,583,7,1.20
nicksakhapartnerscorp.com,HEALTHY,3,0,3,0,1377,12,0.87
nicksakhasolutionsamerica.com,HEALTHY,3,0,3,0,1265,12,0.95
streetsmartshield.com,HEALTHY,2,0,2,0,3118,114,3.66
schmitzagencyplanstore.com,HEALTHY,3,0,3,0,571,12,2.10
nicksakhaprotectionltd.com,HEALTHY,3,0,3,0,1373,9,0.66
streetsmartplans.com,HEALTHY,2,0,2,0,2971,120,4.04
schmitzagencyprosusa.com,HEALTHY,3,0,3,0,569,3,0.53
nicksakhaprotectionusa.com,HEALTHY,3,0,3,0,1350,13,0.96
kimwallaceinsured.com,HEALTHY,2,0,2,0,3361,24,0.71
nicksakhallc.com,HEALTHY,3,0,3,0,1382,17,1.23
greggblanchardagencygroupinc.com,HEALTHY,3,0,3,0,610,4,0.66
schmitzagencyprime.com,HEALTHY,3,0,3,0,572,7,1.22
nicksakhagroupllc.com,HEALTHY,3,0,3,0,1329,7,0.53
nicksakhafinancialpros.com,HEALTHY,3,0,3,0,1327,14,1.06
kimwallace-policy.com,HEALTHY,2,0,2,0,3267,19,0.58
nicksakhainsurancepartners.com,HEALTHY,3,0,3,0,1232,9,0.73
nicksakhafinancialglobal.com,HEALTHY,3,0,3,0,1340,14,1.04
kimwallaceagency.com,HEALTHY,2,0,2,0,3692,30,0.81
schmitzagencyinsuranceservices.com,HEALTHY,3,0,3,0,559,7,1.25
nicksakhainsuranceinfo.com,HEALTHY,3,0,3,0,1226,11,0.90
agentfarmersco.com,HEALTHY,3,0,3,0,3337,38,1.14
schmitzagencyinsurancehub.com,HEALTHY,3,0,3,0,595,4,0.67
nicksakhaagencyltd.com,HEALTHY,3,0,3,0,1334,13,0.97
nicksakhainsurancenationwide.com,HEALTHY,3,0,3,0,1227,10,0.81
greggblanchardagencyins.com,HEALTHY,3,0,3,0,695,7,1.01
nicksakhaservicesglobal.com,HEALTHY,3,0,3,0,1232,9,0.73
nicksakhaservicesllc.com,HEALTHY,3,0,3,0,1263,14,1.11
agentfarmerssupport.com,HEALTHY,3,0,3,0,3298,29,0.88
nicksakhasolutions.com,HEALTHY,3,0,3,0,1276,12,0.94
nicksakhapartnersglobal.com,HEALTHY,3,0,3,0,1394,10,0.72
nicksakhaprotectionco.com,HEALTHY,3,0,3,0,1374,15,1.09
nicksakharisk.com,HEALTHY,3,0,3,0,1275,9,0.71
kimwallaceintexas.com,HEALTHY,2,0,2,0,3271,31,0.95
nicksakhaprotectionpartners.com,HEALTHY,3,0,3,0,1391,15,1.08
nicksakhaprotectionamerica.com,HEALTHY,3,0,3,0,1381,7,0.51
nicksakhafinancialcorp.com,HEALTHY,3,0,3,0,1307,13,0.99
schmitzagencyinsuranceplus.com,HEALTHY,3,0,3,0,567,4,0.71
nicksakhaagencypros.com,HEALTHY,3,0,3,0,1311,8,0.61
nicksakhaamerica.com,HEALTHY,3,0,3,0,1305,7,0.54
nicksakhapartnersllc.com,HEALTHY,3,0,3,0,1369,19,1.39
nicksakhafinancialsolutions.com,HEALTHY,3,0,3,0,1331,16,1.20
kimwallaceadvisors.com,HEALTHY,2,0,2,0,3627,28,0.77
nicksakhaprotectiongroup.com,HEALTHY,3,0,3,0,1394,13,0.93
nicksakhasolutionsco.com,HEALTHY,3,0,3,0,1277,10,0.78
nicksakhagroup.com,HEALTHY,3,0,3,0,1313,9,0.69
nicksakhaprotectioncorp.com,HEALTHY,3,0,3,0,1390,13,0.94
nicksakhafinancialinc.com,HEALTHY,3,0,3,0,1327,11,0.83
nicksakhafinancialgroup.com,HEALTHY,3,0,3,0,1299,12,0.92
nicksakhasolutionsinc.com,HEALTHY,3,0,3,0,1263,12,0.95
nicksakhaagencyservices.com,HEALTHY,3,0,3,0,1294,11,0.85
nicksakhallcs.com,HEALTHY,3,0,3,0,1397,11,0.79
nicksakharisksolutions.com,HEALTHY,3,0,3,0,1274,13,1.02
nicksakhainsurancecare.com,HEALTHY,3,0,3,0,1233,12,0.97
nicksakhapartnersinc.com,HEALTHY,3,0,3,0,1336,6,0.45
nicksakhanationwide.com,HEALTHY,3,0,3,0,1375,13,0.95
nicksakhaprotectionservices.com,HEALTHY,3,0,3,0,1366,10,0.73
greggblanchardagencyinsurancecenter.com,HEALTHY,3,0,3,0,710,12,1.69
nicksakhafinancialpartners.com,HEALTHY,3,0,3,0,1229,11,0.90
nicksakhainsuranceonline.com,HEALTHY,3,0,3,0,1210,12,0.99
getstreetsmartinsurance.com,HEALTHY,2,0,2,0,2980,96,3.22
streetsmartpolicypro.com,HEALTHY,2,0,2,0,3105,87,2.80
schmitzagencyquotenow.com,HEALTHY,3,0,3,0,565,8,1.42
thedevinagencyteam.com,HEALTHY,3,0,3,0,2444,20,0.82
nicksakhaplan.com,HEALTHY,3,0,3,0,1416,18,1.27
agentfarmersllcs.com,HEALTHY,3,0,3,0,3265,46,1.41
greggblanchardagencyriskadvisor.com,HEALTHY,3,0,3,0,703,7,1.00
kimwallaceinsurancesolutions.com,HEALTHY,2,0,2,0,3291,18,0.55
schmitzagencypros.com,HEALTHY,3,0,3,0,569,4,0.70
kimwallacepersonalquote.com,HEALTHY,2,0,2,0,3270,27,0.83
kimwallaceplan.com,HEALTHY,2,0,2,0,3281,21,0.64
kimwallaceprotection.com,HEALTHY,2,0,2,0,3276,30,0.92
kimwallaceinsurance.com,HEALTHY,2,0,2,0,3371,24,0.71
thekimwallace.com,HEALTHY,2,0,2,0,3671,29,0.79
nicksakhagroupco.com,HEALTHY,3,0,3,0,1215,16,1.32
streetsmartcoverageplus.com,HEALTHY,2,0,2,0,2985,74,2.48
schmitzagencyplanonline.com,HEALTHY,3,0,3,0,584,4,0.68
schmitzagencyinsuranceworks.com,HEALTHY,3,0,3,0,559,7,1.25
greggblanchardagencyelitepro.com,HEALTHY,3,0,3,0,695,8,1.15
thedevinagencyworks.com,HEALTHY,3,0,3,0,2453,26,1.06
devinagencyconnect.com,HEALTHY,3,0,3,0,2343,18,0.77
greggblanchardagencydiscount.com,HEALTHY,3,0,3,0,705,6,0.85
devinagencyinsure.com,HEALTHY,3,0,3,0,2448,27,1.10
greggblanchardagencyfocus.com,HEALTHY,3,0,3,0,713,8,1.12
streetsmartinsservices.com,HEALTHY,2,0,2,0,3017,96,3.18
schmitzagencytotal.com,HEALTHY,3,0,3,0,559,6,1.07
schmitzagencyllc.com,HEALTHY,3,0,3,0,578,9,1.56
streetsmartpremium.com,HEALTHY,2,0,2,0,3075,87,2.83
schmitzagencyriskmgmt.com,HEALTHY,3,0,3,0,571,7,1.23
streetsmartclaims.com,HEALTHY,2,0,2,0,3023,71,2.35
schmitzagencyonline.com,HEALTHY,3,0,3,0,573,8,1.40
greggblanchardagencyriskadvisors.com,HEALTHY,3,0,3,0,698,5,0.72
schmitzagencyone.com,HEALTHY,3,0,3,0,543,4,0.74
nicksakhafinancialllc.com,HEALTHY,3,0,3,0,1290,15,1.16
greggblanchardagencyenterprises.com,HEALTHY,3,0,3,0,695,8,1.15
greggblanchardagencycoveragehub.com,HEALTHY,3,0,3,0,689,7,1.02
greggblanchardagencycoveragemax.com,HEALTHY,3,0,3,0,682,6,0.88
nicksakhainsurancebenefits.com,HEALTHY,3,0,3,0,1210,8,0.66
greggblanchardagencycommunity.com,HEALTHY,3,0,3,0,715,6,0.84
nicksakhainc.com,HEALTHY,3,0,3,0,1179,9,0.76
kimwallacecoveragesolutions.com,HEALTHY,2,0,2,0,3725,30,0.81
kimwallacehomesecure.com,HEALTHY,2,0,2,0,3713,27,0.73
schmitzagencytrust.com,HEALTHY,3,0,3,0,584,5,0.86
greggblanchardagencycoverageusa.com,HEALTHY,3,0,3,0,649,14,2.16
greggblanchardagencyinsuranceco.com,HEALTHY,3,0,3,0,676,8,1.18
mystreetsmartinsurance.com,HEALTHY,1,0,1,0,1511,56,3.71
greggblanchardagencyinsuranceglobal.com,HEALTHY,3,0,3,0,677,10,1.48
streetsmartchoice.com,HEALTHY,2,0,2,0,3032,92,3.03
nicksakhapros.com,HEALTHY,3,0,3,0,1379,8,0.58
nicksakhariskgroup.com,HEALTHY,3,0,3,0,1294,13,1.00
nicksakhaservicesinc.com,HEALTHY,3,0,3,0,1230,11,0.89
schmitzagencyquotesonline.com,HEALTHY,3,0,3,0,569,5,0.88
kimwallaceinsurancetexas.com,HEALTHY,2,0,2,0,3261,29,0.89
greggblanchardagencyinsurancegroup.com,HEALTHY,3,0,3,0,673,9,1.34
greggblanchardagencyexpertsglobal.com,HEALTHY,3,0,3,0,691,9,1.30
nicksakhainsuranceexperts.com,HEALTHY,3,0,3,0,1241,11,0.89
nicksakhainsurancellc.com,HEALTHY,3,0,3,0,1230,16,1.30
castleagencyusa.com,LOW_VOLUME,3,0,0,3,0,0,0.00
therossmanmediamarketing.com,LOW_VOLUME,3,0,0,3,0,0,0.00
therossmanmediaexpert.com,LOW_VOLUME,3,0,0,3,0,0,0.00
therossmanmediaservices.com,LOW_VOLUME,3,0,0,3,0,0,0.00
therossmanmedialabs.com,LOW_VOLUME,3,0,0,3,0,0,0.00
rossmanmediaai.com,LOW_VOLUME,3,0,0,3,0,0,0.00
rossmanmediaexperts.com,LOW_VOLUME,3,0,0,3,0,0,0.00
prorossmanmedia.com,LOW_VOLUME,3,0,0,3,0,0,0.00
rossmanmediaautomation.com,LOW_VOLUME,3,0,0,3,0,0,0.00
castleagencypros.com,LOW_VOLUME,3,0,0,3,0,0,0.00
rossmanmediaplan.com,LOW_VOLUME,3,0,0,3,0,0,0.00
tyschraufagencyusa.com,LOW_VOLUME,3,0,0,3,35,0,0.00
toprossmanmedia.com,LOW_VOLUME,3,0,0,3,0,0,0.00
therossmanmediaexperts.com,LOW_VOLUME,3,0,0,3,0,0,0.00
therossmanmediagroup.com,LOW_VOLUME,3,0,0,3,0,0,0.00
rossmanmediastories.com,LOW_VOLUME,3,0,0,3,0,0,0.00
therossmanmediaconsulting.com,LOW_VOLUME,3,0,0,3,0,0,0.00
rossmanmediawebsupport.com,LOW_VOLUME,2,0,0,2,0,0,0.00
rossmanmediadevelopment.com,LOW_VOLUME,3,0,0,3,0,0,0.00
rossmanmediaaisolutions.com,LOW_VOLUME,3,0,0,3,0,0,0.00
castleagencyteam.com,LOW_VOLUME,3,0,0,3,0,0,0.00
rossmanmediafunnel.com,LOW_VOLUME,3,0,0,3,0,0,0.00
rossmanmediabuy.com,LOW_VOLUME,3,0,0,3,0,0,0.00
tyschraufagencyteams.com,LOW_VOLUME,3,0,0,3,37,0,0.00
therossmanmediasolution.com,LOW_VOLUME,3,0,0,3,0,0,0.00
rossmanmediaconsultants.com,LOW_VOLUME,3,0,0,3,0,0,0.00
rossmanmediaservice.com,LOW_VOLUME,3,0,0,3,0,0,0.00
rossmanmediacontentcreation.com,LOW_VOLUME,2,0,0,2,0,0,0.00
rossmanmediacorporate.com,LOW_VOLUME,3,0,0,3,0,0,0.00
leblancinsuranceagencyinc.com,LOW_VOLUME,3,0,0,3,12,0,0.00
rossmanmediawebdesign.com,LOW_VOLUME,3,0,0,3,0,0,0.00
therossmanmedialab.com,LOW_VOLUME,2,0,0,2,0,0,0.00
therossmanmediaportal.com,LOW_VOLUME,3,0,0,3,0,0,0.00
tyschraufagencyteam.com,LOW_VOLUME,3,0,0,3,37,0,0.00
therossmanmediahub.com,LOW_VOLUME,3,0,0,3,0,0,0.00
leblancinsuranceagencyusa.com,LOW_VOLUME,3,0,0,3,12,0,0.00
therossmanmedianetwork.com,LOW_VOLUME,3,0,0,3,0,0,0.00
leblancinsuranceagencypro.com,LOW_VOLUME,3,0,0,3,12,0,0.00
therossmanmediapro.com,LOW_VOLUME,3,0,0,3,0,0,0.00
leblancinsuranceagencyinsurance.com,LOW_VOLUME,3,0,0,3,12,0,0.00
rossmanmediacase.com,LOW_VOLUME,3,0,0,3,0,0,0.00
leblancinsuranceagencyplus.com,LOW_VOLUME,3,0,0,3,12,0,0.00
therossmanmediasolutions.com,LOW_VOLUME,2,0,0,2,0,0,0.00
leblancinsuranceagencyhome.com,LOW_VOLUME,3,0,0,3,12,0,0.00
rossmanmediavisuals.com,LOW_VOLUME,3,0,0,3,0,0,0.00
therossmanmediaservice.com,LOW_VOLUME,2,0,0,2,0,0,0.00
therossmanmediapartners.com,LOW_VOLUME,3,0,0,3,0,0,0.00
therossmanmediacorporate.com,LOW_VOLUME,3,0,0,3,0,0,0.00
tyschraufagencycorp.com,LOW_VOLUME,3,0,0,3,36,1,2.78
leblancinsuranceagencyinsure.com,LOW_VOLUME,3,0,0,3,12,0,0.00
leblancinsuranceagencyhealth.com,LOW_VOLUME,3,0,0,3,12,0,0.00
leblancinsuranceagencygroup.com,LOW_VOLUME,3,0,0,3,12,0,0.00
castleagencyteams.com,LOW_VOLUME,3,0,0,3,0,0,0.00
castleagencyco.com,LOW_VOLUME,3,0,0,3,0,0,0.00
leblancinsuranceagencysolutions.com,LOW_VOLUME,3,0,0,3,11,0,0.00
tyschraufagencyservices.com,LOW_VOLUME,3,0,0,3,39,0,0.00