Domain,Classification,Expected Mailboxes,Actual Mailboxes,Burnt Mailboxes,Healthy Mailboxes,Low Volume Mailboxes,Total Sent,Total Replied,Avg Reply Rate %,Purchase Type
nicksakhainsurancepros.com,ALL_BURNT,0,3,3,0,0,1202,3,0.25,TRANSFER
homepolicytx.info,ALL_BURNT,3,2,2,0,0,2074,5,0.24,TRANSFER
homepolicyagency.info,ALL_BURNT,3,1,1,0,0,1043,3,0.29,TRANSFER
homepolicyusa.info,ALL_BURNT,3,2,2,0,0,2094,4,0.19,TRANSFER
homepolicyadvisors.info,ALL_BURNT,3,1,1,0,0,1048,3,0.29,TRANSFER
nicksakhafinancialservices.com,MIXED,3,3,1,2,0,1328,7,0.53,TRANSFER
nicksakhainsuranceprotection.com,MIXED,0,3,1,2,0,1208,7,0.58,TRANSFER
kimwallacetexasplans.com,MIXED,2,2,1,1,0,2831,23,0.81,TRANSFER
homepolicyinsure.info,MIXED,3,2,1,1,0,2081,10,0.48,TRANSFER
nicksakhaagency.com,MIXED,3,3,1,2,0,1326,6,0.45,TRANSFER
nicksakhagroupcorp.com,MIXED,3,3,2,1,0,1299,8,0.62,TRANSFER
nicksakhafinancialco.com,MIXED,3,3,2,1,0,1343,5,0.37,TRANSFER
nicksakhaagencyusa.com,MIXED,3,3,1,2,0,1302,10,0.77,TRANSFER
nicksakhacorp.com,MIXED,0,3,1,2,0,1269,10,0.79,TRANSFER
nicksakhaagencygroup.com,MIXED,0,3,1,2,0,1283,12,0.94,TRANSFER
nicksakhainsuranceagency.com,MIXED,3,3,2,1,0,1226,6,0.49,TRANSFER
nicksakhainsuranceservices.com,MIXED,3,3,1,2,0,1219,12,0.98,TRANSFER
kimwallaceinsuranceplans.com,MIXED,2,2,1,1,0,3591,21,0.58,TRANSFER
nicksakhaconsulting.com,MIXED,3,3,1,2,0,1300,14,1.08,TRANSFER
nicksakhagroupamerica.com,MIXED,3,3,1,2,0,1299,7,0.54,TRANSFER
nicksakhagroupusa.com,MIXED,0,3,1,2,0,1207,6,0.50,TRANSFER
nicksakhagroupinc.com,MIXED,0,3,1,2,0,1194,5,0.42,TRANSFER
nicksakhaco.com,MIXED,0,3,1,2,0,1279,10,0.78,TRANSFER
nicksakhafinancialltd.com,MIXED,0,3,1,2,0,1291,8,0.62,TRANSFER
nicksakhainsuranceltd.com,MIXED,0,3,2,1,0,1210,6,0.50,TRANSFER
nicksakhacoverage.com,MIXED,3,3,2,1,0,1317,7,0.53,TRANSFER
nicksakhafinancialusa.com,MIXED,0,3,2,1,0,1304,9,0.69,TRANSFER
nicksakhainsurancegroup.com,MIXED,3,3,2,1,0,1232,5,0.41,TRANSFER
nicksakhainsurancecorp.com,MIXED,0,3,2,1,0,1191,7,0.59,TRANSFER
nicksakhainsurancecenter.com,MIXED,3,3,1,2,0,1182,12,1.02,TRANSFER
nicksakhainsuranceinc.com,MIXED,3,3,1,2,0,1219,10,0.82,TRANSFER
nicksakhafinancial.com,MIXED,0,3,1,2,0,1308,10,0.76,TRANSFER
nicksakhagroupglobal.com,MIXED,3,3,1,2,0,1197,7,0.58,TRANSFER
homepolicyinsurance.info,MIXED,3,2,1,1,0,2090,6,0.29,TRANSFER
kimwallacesolutions.com,MIXED,2,2,1,1,0,3635,21,0.58,TRANSFER
nicksakhaagencyamerica.com,MIXED,3,3,1,2,0,1304,8,0.61,TRANSFER
nicksakhainsuranceco.com,MIXED,3,3,1,2,0,1231,6,0.49,TRANSFER
nicksakhaglobal.com,MIXED,0,3,1,2,0,1319,12,0.91,TRANSFER
nicksakhafinancialamerica.com,MIXED,0,3,1,2,0,1314,15,1.14,TRANSFER
nicksakhainsuranceglobal.com,MIXED,0,3,1,2,0,1205,7,0.58,TRANSFER
nicksakhaincs.com,MIXED,0,3,2,1,0,1190,6,0.50,TRANSFER
kimwallaceservestexas.com,MIXED,2,2,1,1,0,3642,18,0.49,TRANSFER
nicksakhaagencyinc.com,MIXED,3,3,1,2,0,1302,9,0.69,TRANSFER
nicksakhagroupltd.com,MIXED,3,3,1,2,0,1214,11,0.91,TRANSFER
kimwallaceyourpolicy.com,MIXED,2,2,1,1,0,3625,23,0.63,TRANSFER
nicksakhaagencyllc.com,MIXED,3,3,1,2,0,1296,8,0.62,TRANSFER
nicksakhainsurancecapital.com,MIXED,3,3,1,2,0,1224,10,0.82,TRANSFER
nicksakhainsuranceplus.com,MIXED,3,3,1,2,0,1213,8,0.66,TRANSFER
nicksakhainsuranceamerica.com,MIXED,3,3,1,2,0,1238,5,0.40,TRANSFER
nicksakhainsuranceportal.com,MIXED,0,3,1,2,0,1213,10,0.82,TRANSFER
nicksakhainsurancerisk.com,MIXED,0,3,2,1,0,1214,5,0.41,TRANSFER
nicksakhainsurance.com,MIXED,0,3,1,2,0,1202,7,0.58,TRANSFER
nicksakhaamerica.com,HEALTHY,3,3,0,3,0,1305,7,0.54,TRANSFER
nicksakhainc.com,HEALTHY,3,3,0,3,0,1179,9,0.76,TRANSFER
nicksakhafinancialpartners.com,HEALTHY,3,3,0,3,0,1229,11,0.90,TRANSFER
kimwallacecoverageplans.com,HEALTHY,2,2,0,2,0,3705,29,0.78,TRANSFER
nicksakhafinancialpros.com,HEALTHY,3,3,0,3,0,1327,14,1.06,TRANSFER
nicksakhainsuranceinfo.com,HEALTHY,3,3,0,3,0,1226,11,0.90,TRANSFER
nicksakhainsurancecare.com,HEALTHY,3,3,0,3,0,1233,12,0.97,TRANSFER
nicksakhagroup.com,HEALTHY,3,3,0,3,0,1313,9,0.69,TRANSFER
nicksakhaagencyltd.com,HEALTHY,3,3,0,3,0,1334,13,0.97,TRANSFER
nicksakhaagencyservices.com,HEALTHY,3,3,0,3,0,1294,11,0.85,TRANSFER
nicksakhafinancialinc.com,HEALTHY,3,3,0,3,0,1327,11,0.83,TRANSFER
streetsmartinsured.com,HEALTHY,2,2,0,2,0,2994,88,2.94,TRANSFER
kimwallaceinc.com,HEALTHY,2,2,0,2,0,3683,28,0.76,TRANSFER
streetsmartguard.com,HEALTHY,2,2,0,2,0,3032,113,3.73,TRANSFER
nicksakhafinancialglobal.com,HEALTHY,3,3,0,3,0,1340,14,1.04,TRANSFER
nicksakhainsuranceonline.com,HEALTHY,3,3,0,3,0,1210,12,0.99,TRANSFER
nicksakhainsuranceexperts.com,HEALTHY,3,3,0,3,0,1241,11,0.89,TRANSFER
streetsmartinsure.com,HEALTHY,2,2,0,2,0,3028,67,2.21,TRANSFER
nicksakhafinancialgroup.com,HEALTHY,3,3,0,3,0,1299,12,0.92,TRANSFER
kimwallaceagency.com,HEALTHY,2,2,0,2,0,3692,30,0.81,TRANSFER
kimwallacehomesecure.com,HEALTHY,2,2,0,2,0,3713,27,0.73,TRANSFER
streetsmartinssolutions.com,HEALTHY,2,2,0,2,0,3029,83,2.74,TRANSFER
kimwallacecoveragesolutions.com,HEALTHY,2,2,0,2,0,3725,30,0.81,TRANSFER
thekimwallace.com,HEALTHY,2,2,0,2,0,3671,29,0.79,TRANSFER
streetsmartclaims.com,HEALTHY,2,2,0,2,0,3023,71,2.35,TRANSFER
streetsmartcoveragepro.com,HEALTHY,2,2,0,2,0,2987,97,3.25,TRANSFER
streetsmartchoice.com,HEALTHY,2,2,0,2,0,3032,92,3.03,TRANSFER
streetsmartinsservices.com,HEALTHY,2,2,0,2,0,3017,96,3.18,TRANSFER
mystreetsmartinsurance.com,HEALTHY,2,1,0,1,0,1511,56,3.71,TRANSFER
getstreetsmartinsurance.com,HEALTHY,2,2,0,2,0,2980,96,3.22,TRANSFER
kimwallacehome.com,HEALTHY,2,2,0,2,0,3724,43,1.15,TRANSFER
nicksakhagroupco.com,HEALTHY,3,3,0,3,0,1215,16,1.32,TRANSFER
nicksakhainsurancebenefits.com,HEALTHY,0,3,0,3,0,1210,8,0.66,TRANSFER
kimwallaceadvisors.com,HEALTHY,2,2,0,2,0,3627,28,0.77,TRANSFER
streetsmartagency.com,HEALTHY,2,2,0,2,0,3005,106,3.53,TRANSFER
nicksakhainsuranceconnect.com,HEALTHY,3,3,0,3,0,1234,10,0.81,TRANSFER
kimwallacecoveragegroup.com,HEALTHY,2,2,0,2,0,3708,26,0.70,TRANSFER
kimwallaceshield.com,HEALTHY,2,2,0,2,0,3691,24,0.65,TRANSFER
kimwallacesafety.com,HEALTHY,2,2,0,2,0,3713,26,0.70,TRANSFER
streetsmartcoverage.com,HEALTHY,2,2,0,2,0,2984,93,3.12,TRANSFER
nicksakhafinancialcorp.com,HEALTHY,3,3,0,3,0,1307,13,0.99,TRANSFER
nicksakhafinancialsolutions.com,HEALTHY,3,3,0,3,0,1331,16,1.20,TRANSFER
streetsmartassurance.com,HEALTHY,2,2,0,2,0,3008,111,3.69,TRANSFER
nicksakhaagencypros.com,HEALTHY,0,3,0,3,0,1311,8,0.61,TRANSFER
streetsmartcoverageplus.com,HEALTHY,2,2,0,2,0,2985,74,2.48,TRANSFER
streetsmartinsurancepro.com,HEALTHY,2,2,0,2,0,2991,104,3.48,TRANSFER
nicksakhainsurancepartners.com,HEALTHY,3,3,0,3,0,1232,9,0.73,TRANSFER
nicksakhafinancialllc.com,HEALTHY,3,3,0,3,0,1290,15,1.16,TRANSFER
nicksakhainsurancenationwide.com,HEALTHY,3,3,0,3,0,1227,10,0.81,TRANSFER
nicksakhagroupllc.com,HEALTHY,3,3,0,3,0,1329,7,0.53,TRANSFER
nicksakhainsurancellc.com,HEALTHY,3,3,0,3,0,1230,16,1.30,TRANSFER